time,"$T_{air,1}$","$T_{air,2}$",$T_{wall}$,$T_{out}$,u_0
49380.0,332.2549218172923,292.40248589816207,309.93919321399204,286.3360362846216,0.0
49440.0,332.1406223903243,292.41447543474,309.91190975663244,286.2888427205811,0.0
49500.0,332.2443683427395,292.3393136158629,310.02135896526613,286.36799556280744,0.0
49560.0,332.11619350639444,292.37822606809704,310.1041463322643,286.32838772026196,0.0
49620.0,332.0911127275402,292.39656502765325,310.2194870091847,286.4498119592982,0.0
49680.0,332.0593689999944,292.3535730285729,310.31887102993755,286.33308995826684,0.0
49740.0,331.9334723953165,292.5171665941613,310.4078640008227,286.2606928081935,0.0
49800.0,331.7553070086328,292.5589640271927,310.4553464061543,286.2420647982533,0.0
49860.0,331.61475856222773,292.52872542372677,310.5340192689221,286.2348613758846,0.0
49920.0,331.64726069212713,292.5353392154162,310.5831537171838,286.2360679814467,0.0
49980.0,331.63112142613505,292.6385223716554,310.67620287191323,286.26381147893545,0.0
50040.0,331.44738784307305,292.4131368007206,310.7671823811306,286.2922695847714,0.0
50100.0,331.3381842311728,292.4549367070459,310.8834459591533,286.3897538958866,0.0
50160.0,331.3318696086393,292.4655487371538,310.93102910996834,286.25430453625177,0.0
50220.0,331.22308197648186,292.35620953526836,310.9099838388618,286.3370871571563,0.0
50280.0,331.2055075651515,292.2989921649049,310.95350287202876,286.23609597540184,0.0
50340.0,330.9530126466438,292.2506111830048,311.054997422725,286.13766957219013,0.0
50400.0,330.9392450008806,292.2033249887415,311.1780164040858,286.174046158662,0.0
50460.0,330.87786692644926,292.11233543602077,311.205573454632,286.2519616709231,0.0
50520.0,330.8571157155146,292.17586044759855,311.1446278937135,286.40372627193517,0.0
50580.0,330.7929285809354,292.1497414631296,311.0776396790026,286.3812789399987,0.0
50640.0,330.7655970264652,292.1262678225216,311.09993967878313,286.43446554605293,0.0
50700.0,330.74383483006557,292.0709224578593,311.0919383220018,286.36861088854704,0.0
50760.0,330.66598872048263,292.10672586638145,311.2571273212586,286.3551263107982,0.0
50820.0,330.43932684871913,292.0291769635289,311.15849935238276,286.4328527579776,0.0
50880.0,330.44298811728595,291.93611183719685,311.03717021025346,286.63123391211235,0.0
50940.0,330.314128607278,291.87199297749396,311.06727093802596,286.7471007250074,0.0
51000.0,330.34391540573426,291.85413890698385,311.0906340846064,286.7974255844871,0.0
51060.0,330.1859517231479,291.83554749113847,311.0288854597207,286.7391406528,0.0
51120.0,330.14289937607845,291.7270557666164,311.0070736827572,286.78116649672296,0.0
